"_id","_class","createTime","memberIcon","memberId","memberNickname","productId","productName","productPic","productPrice","productSubTitle"
"6874a798da8179585a7467b8","com.macro.mall.portal.domain.MemberReadHistory","14/7/2025 06:45:44.284","https://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/icon/github_icon_02.png","11","member","28","小米 红米5A 全网通版 3GB+32GB 香槟金 移动联通电信4G手机 双卡双待","http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/images/20180615/5a9d248cN071f4959.jpg","649.00","8天超长待机，137g轻巧机身，高通骁龙处理器小米6X低至1299，点击抢购"
"6874b9341553bd0bad2f1319","com.macro.mall.portal.domain.MemberReadHistory","14/7/2025 08:00:52.132","https://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/icon/github_icon_03.png","1","test","41","Redmi K50 天玑8100 2K柔性直屏 OIS光学防抖 67W快充 5500mAh大电量","http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/images/20221104/redmi_k50_01.jpg","2099.00","【品质好物】天玑8100，2K直屏，5500mAh大电量【Note12Pro火热抢购中】 "
"6874bc34a2f6704739f60924","com.macro.mall.portal.domain.MemberReadHistory","14/7/2025 08:13:40.553","https://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/icon/github_icon_03.png","1","test","41","Redmi K50 天玑8100 2K柔性直屏 OIS光学防抖 67W快充 5500mAh大电量","http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/images/20221104/redmi_k50_01.jpg","2099.00","【品质好物】天玑8100，2K直屏，5500mAh大电量【Note12Pro火热抢购中】 "
"6874bd53a2f6704739f60926","com.macro.mall.portal.domain.MemberReadHistory","14/7/2025 08:18:27.36","https://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/icon/github_icon_03.png","1","test","41","Redmi K50 天玑8100 2K柔性直屏 OIS光学防抖 67W快充 5500mAh大电量","http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/images/20221104/redmi_k50_01.jpg","2099.00","【品质好物】天玑8100，2K直屏，5500mAh大电量【Note12Pro火热抢购中】 "
"6874bdbca2f6704739f60927","com.macro.mall.portal.domain.MemberReadHistory","14/7/2025 08:20:12.56","https://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/icon/github_icon_03.png","1","test","41","Redmi K50 天玑8100 2K柔性直屏 OIS光学防抖 67W快充 5500mAh大电量","http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/images/20221104/redmi_k50_01.jpg","2099.00","【品质好物】天玑8100，2K直屏，5500mAh大电量【Note12Pro火热抢购中】 "
"6874bdcea2f6704739f60928","com.macro.mall.portal.domain.MemberReadHistory","14/7/2025 08:20:29.972","https://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/icon/github_icon_03.png","1","test","41","Redmi K50 天玑8100 2K柔性直屏 OIS光学防抖 67W快充 5500mAh大电量","http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/images/20221104/redmi_k50_01.jpg","2099.00","【品质好物】天玑8100，2K直屏，5500mAh大电量【Note12Pro火热抢购中】 "
"68785115c26f0b6d4bc74209","com.macro.mall.portal.domain.MemberReadHistory","17/7/2025 01:25:40.917","https://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/icon/github_icon_03.png","1","test","26","华为 HUAWEI P20 ","http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/images/20180607/5ac1bf58Ndefaac16.jpg","3788.00","AI智慧全面屏 6GB +64GB 亮黑色 全网通版 移动联通电信4G手机 双卡双待手机 双卡双待"
"68785119c26f0b6d4bc7420a","com.macro.mall.portal.domain.MemberReadHistory","17/7/2025 01:25:45.367","https://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/icon/github_icon_03.png","1","test","32","HLA海澜之家短袖T恤男基础款","http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/images/20180615/5a51eb88Na4797877.jpg","68.00","HLA海澜之家短袖T恤男基础款简约圆领HNTBJ2E153A藏青(F3)175/92A(50)"
"68785120c26f0b6d4bc7420b","com.macro.mall.portal.domain.MemberReadHistory","17/7/2025 01:25:52.15","https://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/icon/github_icon_03.png","1","test","27","小米8 全面屏游戏智能手机 6GB+64GB 黑色 全网通4G 双卡双待","http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/images/20180615/xiaomi.jpg","2699.00","骁龙845处理器，红外人脸解锁，AI变焦双摄，AI语音助手小米6X低至1299，点击抢购"
"6878512dc26f0b6d4bc7420d","com.macro.mall.portal.domain.MemberReadHistory","17/7/2025 01:26:05.569","https://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/icon/github_icon_03.png","1","test","35","耐克NIKE 男子 休闲鞋 ROSHE RUN 运动鞋 511881-010黑色41码","http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/images/20180615/5b235bb9Nf606460b.jpg","369.00","耐克NIKE 男子 休闲鞋 ROSHE RUN 运动鞋 511881-010黑色41码"
